complete_string,range,min_num,max_num,letter,password
11-12 w: wwwwwwwwwwwww,11-12,11,12,w, wwwwwwwwwwwww
9-10 c: ccccccccccc,9-10,9,10,c, ccccccccccc
5-7 x: ckhdnfgjrdkxqphvjtvs,5-7,5,7,x, ckhdnfgjrdkxqphvjtvs
10-12 s: ssssjsssshstd,10-12,10,12,s, ssssjsssshstd
7-8 m: mmmmmmmg,7-8,7,8,m, mmmmmmmg
3-4 v: vjvvt,3-4,3,4,v, vjvvt
2-3 f: hmknf,2-3,2,3,f, hmknf
3-5 g: bgsglggg,3-5,3,5,g, bgsglggg
12-13 x: vxxxdcgxxxfxx,12-13,12,13,x, vxxxdcgxxxfxx
3-20 h: hhhtkvrmfswvmkzmbvmh,3-20,3,20,h, hhhtkvrmfswvmkzmbvmh
2-3 v: vvvv,2-3,2,3,v, vvvv
3-14 g: zgpggzgqxjzggg,3-14,3,14,g, zgpggzgqxjzggg
15-16 c: ggcjccnccccccccc,15-16,15,16,c, ggcjccnccccccccc
11-12 d: wrdrdxsfdzddkl,11-12,11,12,d, wrdrdxsfdzddkl
6-7 q: vqqknqq,6-7,6,7,q, vqqknqq
2-6 w: wwwwwwwkck,2-6,2,6,w, wwwwwwwkck
4-6 l: dplldljlvxrrm,4-6,4,6,l, dplldljlvxrrm
2-18 m: pmwfkqlknsxzjmdzkmxd,2-18,2,18,m, pmwfkqlknsxzjmdzkmxd
5-11 q: rqkzqxqmqtqnzqqqxk,5-11,5,11,q, rqkzqxqmqtqnzqqqxk
6-7 s: sssssskss,6-7,6,7,s, sssssskss
9-10 w: wwwwwwwwsw,9-10,9,10,w, wwwwwwwwsw
5-7 x: jxxxhxwxxxxxxxx,5-7,5,7,x, jxxxhxwxxxxxxxx
4-5 t: ttbttfm,4-5,4,5,t, ttbttfm
2-4 h: mlhhhkhc,2-4,2,4,h, mlhhhkhc
13-14 l: llllllllllllfjl,13-14,13,14,l, llllllllllllfjl
8-10 k: kllkkkjkkkk,8-10,8,10,k, kllkkkjkkkk
1-3 s: sssbdss,1-3,1,3,s, sssbdss
2-3 z: zlbzzzzzz,2-3,2,3,z, zlbzzzzzz
9-10 r: rrvrrrfrdfrr,9-10,9,10,r, rrvrrrfrdfrr
4-12 k: vkkkbkhkzkkk,4-12,4,12,k, vkkkbkhkzkkk
11-12 l: llllllllllcgc,11-12,11,12,l, llllllllllcgc
5-6 k: hkzkkkkgdsghdk,5-6,5,6,k, hkzkkkkgdsghdk
3-5 n: nzsxk,3-5,3,5,n, nzsxk
12-14 r: rwrrrrrrrrrprxrrr,12-14,12,14,r, rwrrrrrrrrrprxrrr
4-7 k: kkxkkkkkkk,4-7,4,7,k, kkxkkkkkkk
12-16 b: bbbbbbbbbbbbbbbbb,12-16,12,16,b, bbbbbbbbbbbbbbbbb
13-16 p: ppppppppppppzppfp,13-16,13,16,p, ppppppppppppzppfp
15-19 j: tjjjjjdjjjjmjjccbjm,15-19,15,19,j, tjjjjjdjjjjmjjccbjm
1-3 l: llll,1-3,1,3,l, llll
3-4 x: hxkl,3-4,3,4,x, hxkl
9-15 n: ktnpmnnnlnxnnft,9-15,9,15,n, ktnpmnnnlnxnnft
6-7 q: qqdtcqs,6-7,6,7,q, qqdtcqs
13-14 g: lgghndddgllnfg,13-14,13,14,g, lgghndddgllnfg
7-14 k: cdzkjkkksksbwkjb,7-14,7,14,k, cdzkjkkksksbwkjb
7-11 w: cwcsvqwfwhw,7-11,7,11,w, cwcsvqwfwhw
14-18 m: mmmmmmmmmmmmmhmmmjmm,14-18,14,18,m, mmmmmmmmmmmmmhmmmjmm
4-5 c: cvfctcsncscbmj,4-5,4,5,c, cvfctcsncscbmj
4-5 r: zrnrrnxct,4-5,4,5,r, zrnrrnxct
2-3 b: ggdlb,2-3,2,3,b, ggdlb
8-9 x: cpxskxxxxbxn,8-9,8,9,x, cpxskxxxxbxn
12-14 v: vvvvvwvvvvvbvw,12-14,12,14,v, vvvvvwvvvvvbvw
13-16 n: pmhnhpnntncxqrmd,13-16,13,16,n, pmhnhpnntncxqrmd
2-4 m: mmxm,2-4,2,4,m, mmxm
7-10 m: mmmrqwsmnkgbdbrmmjjm,7-10,7,10,m, mmmrqwsmnkgbdbrmmjjm
7-8 z: zzzzzzzzzz,7-8,7,8,z, zzzzzzzzzz
2-3 p: pppnfltzpd,2-3,2,3,p, pppnfltzpd
1-10 h: hhslhfsgtxphhncg,1-10,1,10,h, hhslhfsgtxphhncg
5-6 m: txmhxhtmgm,5-6,5,6,m, txmhxhtmgm
4-5 v: wsnvrsvx,4-5,4,5,v, wsnvrsvx
8-12 p: pfbdlnrphdfplvpqx,8-12,8,12,p, pfbdlnrphdfplvpqx
10-13 b: nbpjvgghsbplb,10-13,10,13,b, nbpjvgghsbplb
9-15 h: ghcxbptxsgvvvptqx,9-15,9,15,h, ghcxbptxsgvvvptqx
4-5 t: tttgf,4-5,4,5,t, tttgf
2-3 l: lsnl,2-3,2,3,l, lsnl
1-11 v: vvvvvvvvvvvvvvvv,1-11,1,11,v, vvvvvvvvvvvvvvvv
6-7 r: brnrrrr,6-7,6,7,r, brnrrrr
3-4 k: bkkvkrtmzj,3-4,3,4,k, bkkvkrtmzj
17-18 p: pppppwphpkpppppppp,17-18,17,18,p, pppppwphpkpppppppp
8-11 f: fqfffdffffpfffffffff,8-11,8,11,f, fqfffdffffpfffffffff
14-16 z: zznzzzbzzzzdzzzsz,14-16,14,16,z, zznzzzbzzzzdzzzsz
10-11 v: xtvfnxdrvqnxg,10-11,10,11,v, xtvfnxdrvqnxg
8-13 c: tcwtbcpfvdccs,8-13,8,13,c, tcwtbcpfvdccs
5-6 b: btbnbdb,5-6,5,6,b, btbnbdb
2-4 d: ddxmcb,2-4,2,4,d, ddxmcb
6-9 p: qpppzppbpsplpppppxp,6-9,6,9,p, qpppzppbpsplpppppxp
7-12 z: zzzzzztzqzzqzz,7-12,7,12,z, zzzzzztzqzzqzz
4-5 h: hhhmb,4-5,4,5,h, hhhmb
7-10 f: frftffhfff,7-10,7,10,f, frftffhfff
4-5 c: xccmv,4-5,4,5,c, xccmv
8-11 x: rfglxxxhxwvxxfcxx,8-11,8,11,x, rfglxxxhxwvxxfcxx
7-10 k: kkqnjxzckmmbkkk,7-10,7,10,k, kkqnjxzckmmbkkk
6-7 h: hhxsdhhwh,6-7,6,7,h, hhxsdhhwh
15-18 r: rmrrlrrrrrrrrtncrcr,15-18,15,18,r, rmrrlrrrrrrrrtncrcr
10-11 x: srnxxbbhxxx,10-11,10,11,x, srnxxbbhxxx
13-14 c: cccccccccccchx,13-14,13,14,c, cccccccccccchx
5-8 r: rrrrfrrhrrr,5-8,5,8,r, rrrrfrrhrrr
11-15 v: vvvvvvvvvvvvwvvvsvv,11-15,11,15,v, vvvvvvvvvvvvwvvvsvv
6-8 q: qqkqlnqzmqqx,6-8,6,8,q, qqkqlnqzmqqx
2-3 h: hhzq,2-3,2,3,h, hhzq
10-12 l: lllflllllpqt,10-12,10,12,l, lllflllllpqt
7-9 m: mlmmmmmmm,7-9,7,9,m, mlmmmmmmm
4-12 b: pbbhbrrhzxvrgcsfmqq,4-12,4,12,b, pbbhbrrhzxvrgcsfmqq
8-10 g: tggrgggbgdggmg,8-10,8,10,g, tggrgggbgdggmg
9-10 s: sssssksspsss,9-10,9,10,s, sssssksspsss
4-8 k: dtkkkkkkkkkkmk,4-8,4,8,k, dtkkkkkkkkkkmk
19-20 j: jjjjjjjjjjjjjjjjjjjj,19-20,19,20,j, jjjjjjjjjjjjjjjjjjjj
3-8 r: rrrrxrrrrrrr,3-8,3,8,r, rrrrxrrrrrrr
9-10 p: qmgzfbqpnp,9-10,9,10,p, qmgzfbqpnp
1-4 w: wwwsw,1-4,1,4,w, wwwsw
1-15 f: fffffffftzftxhfwfbx,1-15,1,15,f, fffffffftzftxhfwfbx
1-5 t: rtttttlxtjtttsq,1-5,1,5,t, rtttttlxtjtttsq
3-4 f: fmffkt,3-4,3,4,f, fmffkt
16-18 n: kfnnnlnnnsgscnzmrv,16-18,16,18,n, kfnnnlnnnsgscnzmrv
3-4 w: wwmk,3-4,3,4,w, wwmk
7-9 l: lllkbllllllllljtjll,7-9,7,9,l, lllkbllllllllljtjll
7-13 l: pqzbtxmqslllqkx,7-13,7,13,l, pqzbtxmqslllqkx
6-18 j: qlnjjvrtzqkfrnjxjk,6-18,6,18,j, qlnjjvrtzqkfrnjxjk
6-8 q: qtpqqpqg,6-8,6,8,q, qtpqqpqg
6-8 c: cccfccxd,6-8,6,8,c, cccfccxd
3-4 f: fhff,3-4,3,4,f, fhff
4-5 x: xjxfhqkhx,4-5,4,5,x, xjxfhqkhx
16-18 k: xvbktrmqkckwkrkkjkk,16-18,16,18,k, xvbktrmqkckwkrkkjkk
9-13 v: vvvbvvvvvvvvnvvlmvv,9-13,9,13,v, vvvbvvvvvvvvnvvlmvv
1-7 k: wkkkkkqkk,1-7,1,7,k, wkkkkkqkk
2-4 z: jpzlxfjbh,2-4,2,4,z, jpzlxfjbh
5-8 l: lllllpllfllllr,5-8,5,8,l, lllllpllfllllr
7-8 r: rrrrrrwnr,7-8,7,8,r, rrrrrrwnr
5-6 d: ddddftd,5-6,5,6,d, ddddftd
4-5 q: vqlqn,4-5,4,5,q, vqlqn
3-13 p: pppsppmpbppppppppn,3-13,3,13,p, pppsppmpbppppppppn
1-3 w: wwww,1-3,1,3,w, wwww
4-5 d: tfrpfcdlft,4-5,4,5,d, tfrpfcdlft
5-10 r: rrrrppxrrvrm,5-10,5,10,r, rrrrppxrrvrm
9-10 t: dtttttttgvtt,9-10,9,10,t, dtttttttgvtt
8-12 j: jjjhjjjljjjjjpjj,8-12,8,12,j, jjjhjjjljjjjjpjj
6-7 b: lpfpzljhbl,6-7,6,7,b, lpfpzljhbl
3-6 k: kzkqkrkckkv,3-6,3,6,k, kzkqkrkckkv
3-7 q: rvqdtsqqjfftzllflnx,3-7,3,7,q, rvqdtsqqjfftzllflnx
2-3 l: glsjcsrlmn,2-3,2,3,l, glsjcsrlmn
5-8 g: gggxhggpgg,5-8,5,8,g, gggxhggpgg
12-14 q: zqqsqqqqqqqqxqqq,12-14,12,14,q, zqqsqqqqqqqqxqqq
9-11 q: qqqqsqjtqqq,9-11,9,11,q, qqqqsqjtqqq
9-10 g: gggggcggggg,9-10,9,10,g, gggggcggggg
12-14 z: zzzzzzzzzzzlzzzzzz,12-14,12,14,z, zzzzzzzzzzzlzzzzzz
1-6 s: gvqttcgrqqsbndv,1-6,1,6,s, gvqttcgrqqsbndv
8-19 z: mzzzpkzdzzzskfhzzlj,8-19,8,19,z, mzzzpkzdzzzskfhzzlj
4-6 h: kmlbhwthhp,4-6,4,6,h, kmlbhwthhp
8-9 x: xxxxxxxvk,8-9,8,9,x, xxxxxxxvk
1-2 k: drjkkkk,1-2,1,2,k, drjkkkk
10-12 z: zdzsgzzzwvzrzszzzzzz,10-12,10,12,z, zdzsgzzzwvzrzszzzzzz
13-14 f: lffdffjfbfdxjd,13-14,13,14,f, lffdffjfbfdxjd
11-12 b: rppkbnjgcqrr,11-12,11,12,b, rppkbnjgcqrr
1-2 l: lllq,1-2,1,2,l, lllq
5-6 m: mmmmzr,5-6,5,6,m, mmmmzr
6-14 l: lllbldllpllllblllcl,6-14,6,14,l, lllbldllpllllblllcl
4-9 d: rdtdcwnbqjbthddr,4-9,4,9,d, rdtdcwnbqjbthddr
13-15 v: vvcwvvqvzvvvfvg,13-15,13,15,v, vvcwvvqvzvvvfvg
9-10 g: gpxpwxhmgg,9-10,9,10,g, gpxpwxhmgg
13-14 n: njpndvsvfgrrhnb,13-14,13,14,n, njpndvsvfgrrhnb
3-5 r: rrrrr,3-5,3,5,r, rrrrr
7-13 h: hhdcgscdxmhwhg,7-13,7,13,h, hhdcgscdxmhwhg
3-4 l: tnhf,3-4,3,4,l, tnhf
10-13 c: mfcvbcmcccqhc,10-13,10,13,c, mfcvbcmcccqhc
6-7 x: cdwfdxxxxxx,6-7,6,7,x, cdwfdxxxxxx
5-7 b: wbbzwbcx,5-7,5,7,b, wbbzwbcx
4-6 h: vhhzpqjhk,4-6,4,6,h, vhhzpqjhk
5-8 r: hffprngr,5-8,5,8,r, hffprngr
14-15 p: pppppppppppspjm,14-15,14,15,p, pppppppppppspjm
8-12 z: pzqdhzzkzzzzxzzc,8-12,8,12,z, pzqdhzzkzzzzxzzc
1-8 b: kbbfdvvcsdjlbw,1-8,1,8,b, kbbfdvvcsdjlbw
16-18 k: rqwtgtwzgsnvlkdkkk,16-18,16,18,k, rqwtgtwzgsnvlkdkkk
8-10 w: xllfslwwsf,8-10,8,10,w, xllfslwwsf
2-5 m: qmbdm,2-5,2,5,m, qmbdm
10-12 b: bhbbbbbwtbbbbbhbb,10-12,10,12,b, bhbbbbbwtbbbbbhbb
8-14 c: cscdccccccccxcp,8-14,8,14,c, cscdccccccccxcp
3-5 c: rcdpz,3-5,3,5,c, rcdpz
16-18 q: qqqqqqqqqqnqqqqbql,16-18,16,18,q, qqqqqqqqqqnqqqqbql
3-4 x: xjxx,3-4,3,4,x, xjxx
6-7 n: gnnnnxwqn,6-7,6,7,n, gnnnnxwqn
16-17 f: tffrffffffffffffff,16-17,16,17,f, tffrffffffffffffff
5-6 d: ddddgm,5-6,5,6,d, ddddgm
2-7 r: prrrssrrkrjrrr,2-7,2,7,r, prrrssrrkrjrrr
12-16 g: ggxbxggtgbggccwgggtv,12-16,12,16,g, ggxbxggtgbggccwgggtv
10-14 n: nnkntpnvncnnnznnr,10-14,10,14,n, nnkntpnvncnnnznnr
3-5 c: qccwcx,3-5,3,5,c, qccwcx
7-17 v: jvvvvhvvvpvvqvgvv,7-17,7,17,v, jvvvvhvvvpvvqvgvv
3-6 c: cclccs,3-6,3,6,c, cclccs
8-10 m: nwtmfcnmmmmm,8-10,8,10,m, nwtmfcnmmmmm
1-2 p: hrpp,1-2,1,2,p, hrpp
2-3 j: hdnjgt,2-3,2,3,j, hdnjgt
1-3 h: jhgvhjhh,1-3,1,3,h, jhgvhjhh
9-10 j: jjjjjjjjvl,9-10,9,10,j, jjjjjjjjvl
12-15 h: hhshhhhthhhhhnhn,12-15,12,15,h, hhshhhhthhhhhnhn
5-8 k: qkvmkwckvlkl,5-8,5,8,k, qkvmkwckvlkl
12-15 j: jjjjjjjkjjjwjjlj,12-15,12,15,j, jjjjjjjkjjjwjjlj
11-16 v: tvmrmvvvwwqrxwvg,11-16,11,16,v, tvmrmvvvwwqrxwvg
5-7 b: dbhtpjvxqzbhbz,5-7,5,7,b, dbhtpjvxqzbhbz
3-4 b: mqbg,3-4,3,4,b, mqbg
4-7 t: tttbtvt,4-7,4,7,t, tttbtvt
8-13 h: hhhhchhhhqfhhhhhthr,8-13,8,13,h, hhhhchhhhqfhhhhhthr
1-6 w: lhwqgrbbwbv,1-6,1,6,w, lhwqgrbbwbv
1-11 t: ttttpttttttt,1-11,1,11,t, ttttpttttttt
2-5 l: rlwllvfhw,2-5,2,5,l, rlwllvfhw
7-8 m: jmmrmmmmlmmm,7-8,7,8,m, jmmrmmmmlmmm
3-5 s: smsss,3-5,3,5,s, smsss
15-19 p: mfpzcghppcgpgqpfvxfw,15-19,15,19,p, mfpzcghppcgpgqpfvxfw
6-7 n: jnldsnb,6-7,6,7,n, jnldsnb
7-9 x: xwbwdxjhcxxvxx,7-9,7,9,x, xwbwdxjhcxxvxx
1-2 c: cbqprgfjfpc,1-2,1,2,c, cbqprgfjfpc
3-4 g: gngf,3-4,3,4,g, gngf
7-10 w: twvvwwtwwtwwsgwws,7-10,7,10,w, twvvwwtwwtwwsgwws
2-9 g: ggngggglgrzk,2-9,2,9,g, ggngggglgrzk
7-9 p: xpphpkppppp,7-9,7,9,p, xpphpkppppp
11-12 p: pppppxpppppppppp,11-12,11,12,p, pppppxpppppppppp
3-4 g: fzqrl,3-4,3,4,g, fzqrl
6-7 x: xxxxxmw,6-7,6,7,x, xxxxxmw
3-4 r: rrrn,3-4,3,4,r, rrrn
8-11 b: bbhbbbbrbbwbkb,8-11,8,11,b, bbhbbbbrbbwbkb
3-11 d: xxvfmvrdmzhfmvmhhp,3-11,3,11,d, xxvfmvrdmzhfmvmhhp
1-12 z: mzzzkzwzzzxfzzzzzzzz,1-12,1,12,z, mzzzkzwzzzxfzzzzzzzz
5-11 g: gzbjgxghddggkgq,5-11,5,11,g, gzbjgxghddggkgq
5-8 g: grpggrgg,5-8,5,8,g, grpggrgg
1-6 f: lfffffsfffff,1-6,1,6,f, lfffffsfffff
8-10 x: slxxxgxxqxxx,8-10,8,10,x, slxxxgxxqxxx
4-13 l: lllllllllllllvll,4-13,4,13,l, lllllllllllllvll
8-9 z: zzzzdhzzz,8-9,8,9,z, zzzzdhzzz
13-15 l: rglrmcqvgjzvlklx,13-15,13,15,l, rglrmcqvgjzvlklx
2-4 q: nsxs,2-4,2,4,q, nsxs
2-3 v: vvqcv,2-3,2,3,v, vvqcv
13-14 b: bbbbbbbbbbbbbb,13-14,13,14,b, bbbbbbbbbbbbbb
13-14 x: rxxdxnxxtxxxqq,13-14,13,14,x, rxxdxnxxtxxxqq
1-4 s: jmsssssgssvppss,1-4,1,4,s, jmsssssgssvppss
6-7 j: pgvjkxcvjslmj,6-7,6,7,j, pgvjkxcvjslmj
2-5 w: jwwswgl,2-5,2,5,w, jwwswgl
5-7 m: mmnmmxp,5-7,5,7,m, mmnmmxp
2-6 k: tkkkxwtkrk,2-6,2,6,k, tkkkxwtkrk
4-15 n: nnnnngnnnnnnnnnnnt,4-15,4,15,n, nnnnngnnnnnnnnnnnt
7-11 x: dxxtxxxvwtnx,7-11,7,11,x, dxxtxxxvwtnx
11-14 s: ssrvphskdsstzsszrnsz,11-14,11,14,s, ssrvphskdsstzsszrnsz
